material_id,bulkMod,shearMod,vol/atom,band_gap,density,energy_per_atom,formation_energy_per_atom,total_magnetization,atomic_mass,atomic_number,boiling_point,column,electronegativity,melting_point,row
mp-580,139,144,11.48537665,0.0,12.80108072,-9.599865937,-0.370257823,0.0003882,88.54066667,34.66666667,3967.666667,11.33333333,1.786666667,1870.166667,4.333333333
mp-571216,46,31,25.08772668,0.0,4.466917782,-3.952990283,-0.503536253,2.2e-06,67.48700858,29.77777778,2546.777778,9.777777778,1.567777778,1095.837778,4.111111111
mp-11839,94,44,24.69952468,0.3258,10.62438253,-9.280711657,-1.187073682,7.0000001,158.0313333,64.33333333,3160.333333,11.66666667,1.843333333,1510.06,6.333333333
mp-139,11,6,55.22035121,0.0,2.63483349,-1.68047365,0.00549138,0.0058639,87.62,38.0,1655.0,2.0,0.95,1050.0,5.0
mp-977545,198,109,16.49150098,0.0,11.85792857,-10.81810759,-0.262082138,1.46e-05,117.766,50.0,4896.5,6.0,1.8725,2670.75,5.25
mp-9953,148,86,18.08360914,0.0,9.617072331,-8.98046892,-1.298439049,1.75e-07,104.731881,43.5,2713.0,9.5,1.745,1411.65,4.5
mp-864889,100,39,16.47053423,0.0,7.24511423,-3.371797283,-0.280296674,2.1e-06,71.86275,32.5,2055.5,10.0,1.57,1051.51,4.25
mp-866193,56,29,22.74808764,0.1118,4.883589966,-3.192201825,-0.313279501,5.67e-05,66.9013675,28.0,2329.5,4.5,1.21,632.5325,4.25
mp-20832,24,15,35.12811926,0.8291,5.439162599,-3.137306306,-0.373562875,6.55e-05,115.0635714,48.0,1559.142857,14.57142857,1.944285714,634.6885714,4.857142857
mp-841,71,50,8.434960844,1.9743,2.258067968,-4.839132883,-1.650492598,0.0,11.4702,5.5,852.6,8.5,2.21,254.245,2.0
mp-1021478,27,15,25.1074975,0.0,2.325689075,-2.285471549,0.115666219,1.9866436,35.164625,16.5,1674.125,2.25,1.29375,1066.125,3.375
mp-468,45,62,11.53877647,7.6012,3.02126203,-5.89300549,-3.890567095,2.2e-05,20.99418705,10.0,761.7725,16.0,3.3875,273.515,2.25
mp-20860,209,115,11.80424764,0.0,8.314754927,-8.155995242,-0.013471481,3.2479068,59.106967,26.2,2835.4,9.8,1.832,1772.416,3.8
mp-1118,193,64,10.95907893,0.0,7.347406808,-6.212475301,-0.549970437,7.85e-06,48.49076667,23.33333333,3181.666667,11.33333333,1.906666667,1714.333333,3.666666667
mp-614005,38,12,16.00854012,0.8024,3.370873875,-6.635844062,-1.795117737,0.0001566,32.49714,15.2,1430.12,12.8,2.77,741.034,2.8
mp-997010,88,19,17.09583244,0.0,8.359362794,-4.249980609,-0.833625926,0.0090314,86.062575,36.0,1090.35,14.0,2.6075,480.3825,3.75
mp-1039,35,12,34.56545388,2.3612,3.64879026,-3.247604448,-0.874229403,4.48e-05,75.9525,32.0,1312.0,9.0,1.705,822.83,4.0
mp-558378,114,38,16.14147278,0.0,9.035558376,-5.131940221,-0.378871982,1.11e-05,87.83125,38.5,2606.4675,11.5,2.295,1468.1275,4.5
mp-673174,213,94,9.917191104,0.0,7.440142251,-8.485292149,-0.163831829,14.8907034,44.43455455,20.81818182,2300.370909,9.909090909,2.16,1334.286364,3.454545455
mp-10756,68,3,18.69510971,0.0,6.766660578,-6.98314209,0.241597158,0.0012313,76.18216667,33.33333333,2891.333333,9.333333333,1.836666667,1632.593333,4.333333333
mp-8481,41,37,23.01563186,0.0,5.302628135,-4.445669963,-0.674062182,2e-06,73.49621667,31.33333333,2757.0,6.666666667,1.373333333,957.6966667,4.666666667
mp-980646,90,40,17.293434,0.0,6.077929036,-5.379458793,-0.190889358,0.0062433,63.2976775,27.75,2935.5,14.25,1.7375,1719.75,4.25
mp-12659,233,75,13.23693058,0.0,8.47951384,-9.617161028,-0.139948465,0.0057399,67.59415667,30.33333333,3228.333333,6.333333333,1.566666667,1929.333333,4.333333333
mp-1019360,97,40,23.40683341,0.0,8.086777497,-6.86390062,-1.427102027,0.00022945,113.9906073,46.33333333,2200.333333,11.66666667,2.013333333,975.4333333,5.333333333
mp-977573,132,95,7.336979655,0.0,10.27026101,-5.25470761,-0.336338765,1.86e-05,45.378455,18.75,1234.21,1.75,1.975,637.0075,2.25
mp-974395,211,76,15.37130217,0.0,18.58515924,-6.392360428,-0.0104876,0.096113,172.039375,69.75,4065.5,9.75,2.28,2090.3,5.75
mp-753581,179,32,13.8972499,0.0,8.780931144,-9.411089763,-3.880899606,1.0037771,73.48866333,30.16666667,1383.966667,12.16666667,2.706666667,469.5833333,4.166666667
mp-7711,84,23,14.88921844,0.0,8.614876693,-3.512279043,-0.21337631,0.0022491,77.24526667,34.0,1653.4,12.66666667,2.433333333,841.5533333,4.0
mp-190,243,126,13.67822613,0.0,7.108138042,-8.439897162,-2.154004422,9.83e-06,58.5513,24.75,1534.9,13.75,3.055,905.85,3.0
mp-6962,64,33,21.95937724,0.0,7.562021897,-5.074763808,-0.753569598,1.88e-05,100.00204,42.8,2077.8,10.4,1.93,1367.22,4.8
