alloy_id,Cr_wt,Ni_wt,Mo_wt,V_wt,C_wt,anneal_temp_C,anneal_time_h,process_type,yield_strength_MPa
AL1000,10.92,10.949,,0.264,0.2,658.4,5.48,A,446.7
AL1001,2.25,8.628,1.339,0.6,0.227,661.6,8.89,C,222.5
AL1002,17.127,11.429,3.915,0.876,0.902,659.6,11.34,C,410.9
AL1003,0.185,0.678,0.165,0.3,0.678,577.5,11.65,B,627.7
AL1004,15.994,7.023,1.256,0.208,0.536,613.6,9.68,B,581.3
AL1005,7.057,7.673,2.618,0.553,0.953,516.5,1.58,B,916.9
AL1006,1.8,2.867,2.504,0.847,0.71,601.3,9.99,A,504.9
AL1007,7.664,10.645,3.724,0.981,0.746,557.4,2.53,B,1033.2
AL1008,8.33,9.377,0.746,0.954,0.554,581.9,2.67,A,752.4
AL1009,8.349,5.763,2.098,0.966,0.501,695.2,1.96,B,410.2
AL1010,0.887,10.319,1.942,0.363,0.967,636.5,,A,481.9
AL1011,5.608,10.604,0.037,0.666,0.73,343.1,5.06,B,400.5
AL1012,9.153,7.19,1.926,0.252,0.591,546.3,4.59,A,858.2
AL1013,15.184,3.036,0.221,0.416,0.061,603.6,6.62,B,541.6
AL1014,1.015,7.175,2.423,0.294,0.781,373.5,5.77,,299.6
AL1015,2.058,6.588,0.897,0.023,0.134,681.1,6.05,A,228.9
AL1016,6.948,1.347,3.197,0.938,0.489,353.2,10.73,C,150.4
AL1017,15.182,6.001,3.275,0.997,0.28,434.6,,C,332.5
AL1018,15.194,11.293,1.301,0.825,0.216,403.0,8.82,A,420.7
AL1019,13.827,6.003,2.868,0.427,0.78,695.3,5.37,A,440.8
AL1020,0.039,11.036,2.085,0.003,0.074,643.7,4.05,B,371.8
AL1021,16.434,9.42,1.787,0.644,0.087,421.5,7.51,A,402.3
AL1022,15.078,6.813,3.548,0.25,0.194,321.8,2.3,B,493.7
AL1023,4.079,4.389,1.08,0.621,0.531,680.4,2.98,A,287.2
AL1024,16.003,2.701,2.403,0.409,0.969,566.0,,A,1061.4
AL1025,8.987,9.978,0.993,0.177,0.333,352.2,3.64,B,401.3
AL1026,15.801,7.141,3.031,0.251,0.837,427.0,10.41,B,444.9
AL1027,15.843,10.421,2.921,0.588,0.656,537.5,8.01,B,995.1
AL1028,4.362,2.162,1.506,0.853,0.23,610.0,,C,413.2
AL1029,17.072,8.388,2.199,0.482,0.389,673.4,3.58,A,489.0
AL1030,3.462,4.37,2.375,0.277,0.693,585.7,8.69,A,634.2
AL1031,10.83,11.048,0.67,0.783,0.242,494.4,10.6,A,494.4
AL1032,7.884,0.352,1.548,0.843,0.58,389.6,11.5,A,165.5
