material_id,bulkMod,shearMod,vol/atom,band_gap,density,energy_per_atom,formation_energy_per_atom,total_magnetization,atomic_mass,atomic_number,boiling_point,column,electronegativity,melting_point,row
mp-550008,124,83,13.54148969,0.6929,7.405005743,-7.04865379,-2.46202218,0.0001251,60.3869024,25.6,1042.12,13.2,2.74,504.56,3.2
mp-2664,224,65,9.864847978,0.0,5.375280531,-8.71472839,-2.649545754,3.88e-05,31.9332,15.0,1825.1,10.0,2.49,997.9,3.0
mp-865982,102,24,19.12657603,0.0,10.72609432,-4.70177411,-0.762236884,1.05e-05,123.5463025,52.25,2433.75,11.75,1.835,1517.08,5.75
mp-4391,200,109,8.419799041,4.6425,3.95969915,-6.936881092,-2.990998051,0.0,20.07774,10.0,961.32,12.8,2.706,554.88,2.4
mp-977126,21,6,17.21634473,0.0,3.103108775,-2.28964583,-0.150732558,0.00022175,32.1728,14.0,1820.0,3.5,1.2175,649.0,2.75
mp-1025554,88,56,20.10268733,0.0,6.29736887,-5.131882974,-0.515239821,4.5e-07,76.2367125,33.5,3086.0,11.0,1.715,1454.2325,4.75
mp-9743,63,27,24.31502236,0.0,6.12270651,-4.810039873,-0.967821965,9.15e-06,89.65386667,39.0,1926.0,9.0,1.776666667,1322.683333,4.666666667
mp-1018712,79,57,17.91546443,0.0,7.975991371,-5.116523243,-0.247657661,0.0004144,86.0525325,37.16666667,2997.333333,10.83333333,1.736666667,914.2733333,4.333333333
mp-867160,85,16,18.85032266,0.0,9.441777201,-2.093812295,-0.340998335,2.55e-05,107.1823922,44.5,1706.0,9.0,1.725,744.865,4.5
mp-7914,104,70,12.03151091,3.98,3.448480291,-7.239670773,-3.211104089,0.0,24.98612032,12.0,1109.85,9.0,2.2925,573.6175,2.75
mp-1018074,147,27,11.88085612,0.0,8.489201587,-5.967365493,-0.20256239,3.3371982,60.7387,28.25,2995.75,10.25,1.865,1392.4775,4.0
mp-552265,88,20,18.43646678,0.0,9.52776533,-4.372443162,-0.421950138,3.86e-05,105.78392,43.2,962.48,15.6,2.694,338.48,4.0
mp-18724,113,46,13.16643485,0.0,5.372147884,-6.010360453,-2.361663871,2.0044864,42.59582786,19.28571429,981.5428571,11.0,2.505714286,583.8857143,3.142857143
mp-754218,84,25,18.29467863,2.1367,7.784284491,-7.604713532,-3.361639496,0.00018095,85.7619,36.0,1628.88,14.0,2.326,772.32,4.8
mp-22003,26,8,15.00878518,4.0245,1.798137302,-6.68090646,-0.388404436,0.0002199,16.25246732,8.0,347.02,11.5,2.5125,140.005,2.25
mp-1018149,115,44,15.23179158,0.0,6.252104864,-5.098853253,-0.25425862,1.67e-05,57.349304,26.33333333,3167.666667,8.333333333,1.72,1509.846667,4.0
mp-690470,202,99,11.38511854,0.545,5.078072412,-8.510903983,-2.732604866,3.0000101,34.81668,16.16666667,1386.966667,12.5,2.836666667,858.2,2.833333333
mp-571133,22,13,24.8470591,0.0,5.587609579,-6.536218729,-0.838839398,0.00959785,83.60879333,36.33333333,2311.0,12.33333333,2.233333333,1246.0,4.333333333
mp-27255,25,18,26.93254157,1.1978,4.083763693,-4.060193425,-0.831049609,0.000172,66.2352,29.2,1530.148,14.8,2.176,421.04,3.8
mp-866279,76,18,19.56868971,0.0,7.750174843,-3.887200463,-0.566416958,0.0003293,91.33225,40.0,2317.25,8.5,1.7725,1341.33,4.75
mp-8936,6,10,56.42302635,0.8549,2.908730471,-4.13623559,-0.386787162,2.07e-05,98.835,42.0,1916.5,15.0,2.255,499.54,4.5
mp-9060,70,24,16.41363334,0.0,5.035813159,-4.218223636,-2.126063434,7.39e-05,49.77660192,22.0,890.418,12.4,2.992,460.22,3.2
mp-1009213,37,1,29.59552866,0.0,4.95706641,-6.220553325,0.422951943,4.0174993,88.3490225,38.0,2097.0,11.0,1.8,1211.39,4.5
mp-570963,243,87,13.94838069,0.0,11.3072654,-10.49065142,-0.114333787,6.81e-05,94.98002667,40.33333333,3873.0,5.666666667,1.606666667,2550.0,4.666666667
mp-19871,76,37,22.45032503,0.0,14.82094421,-3.492797497,-0.071901097,1.08e-05,200.3777127,80.0,2760.0,12.0,2.47,1091.756667,6.0
mp-571122,9,5,33.85461951,0.0,5.06275031,-3.933031233,-0.10038145,4.0000003,103.21798,44.0,1349.6,14.0,2.383333333,861.5666667,4.666666667
mp-20944,92,44,16.23244858,1.3966,6.524207715,-5.913674146,-2.482253864,0.0,63.7768,27.14285714,813.2571429,11.71428571,2.57,417.1157143,3.428571429
mp-7142,384,74,10.27359009,0.0,16.34426597,-9.31114985,0.911478308,2.82e-05,101.12035,41.0,4792.5,11.0,2.375,3553.0,4.0
mp-12743,27,23,28.61857841,0.0,7.343431128,-4.388072897,-0.14137642,2.887852,126.5604448,51.83333333,1852.833333,13.5,2.1,1067.995,5.0
mp-8093,14,9,47.56819711,0.0,4.503965412,-1.821401793,-0.233427902,0.0001384,129.0216667,53.33333333,1775.333333,5.333333333,1.156666667,864.74,5.666666667
mp-1023125,100,67,9.87414894,0.0,5.038795572,-5.475115889,-1.932590122,0.0002554,29.96245,14.25,1185.85,11.25,2.5225,597.5925,2.75
mp-8002,113,76,9.206085438,3.7357,4.899987698,-5.677148765,-2.324228283,2.7e-06,27.1657,12.5,1068.1,11.5,2.4175,216.55,2.5
mp-7422,86,36,15.7817916,0.0,4.821487992,-4.759785956,-0.555518632,6e-07,45.8235048,21.6,1851.4,10.8,1.836,893.028,3.6
mp-4651,168,102,12.25585619,1.8488,4.972061245,-8.025735789,-3.569174561,2.36e-05,36.69704,16.8,1097.12,10.8,2.562,631.08,3.0
mp-5951,130,58,13.89184893,0.0,8.563122019,-6.64677314,-0.277128358,5.1857975,71.63794083,32.5,3118.5,8.5,1.718333333,1583.166667,4.666666667
mp-866180,29,25,21.4480613,0.0,7.628369745,-2.681764818,-0.416803967,1.85e-05,98.5305,39.5,1680.25,8.0,1.3475,651.2475,4.5
mp-863727,154,62,13.72660919,0.0,7.881917854,-6.771711295,-0.641933989,6.26e-05,65.15475,28.75,3277.75,5.75,1.77,1717.1725,4.0
mp-867260,116,21,17.15395717,0.0,10.48171179,-3.788844553,-0.260918109,4.55e-05,108.2798,46.75,2486.75,10.75,2.005,1371.3125,5.0
mp-999377,248,137,12.02400242,0.0,7.244630417,-9.75829619,-0.088989814,0.0,52.45854,23.5,4658.5,9.5,2.075,3275.0,3.5
mp-2701,315,189,10.93995504,0.0,8.113988704,-10.24620268,-1.213396996,1.2e-06,53.45654,24.0,2547.18,10.0,2.32,1406.525,3.5
mp-979057,54,23,25.0161528,0.0,7.865826351,-3.680654275,-0.29633923,0.0001336,118.4993,50.25,1941.75,9.75,1.48,1154.4025,6.25
mp-20978,43,12,34.72963952,0.0,6.800821471,-3.453261,1.612112338,0.000383,142.236992,57.6,3005.0,13.2,1.572,1915.8,6.4
mp-862369,157,69,16.71002573,0.0,9.519982456,-8.529592063,-0.826947514,8.55e-05,95.799706,40.75,3832.5,5.75,1.78,2243.5,4.75
mp-1009828,28,3,31.19525952,0.2552,3.148108129,-4.936858723,0.588285854,0.0001733,59.14106667,25.33333333,3205.333333,10.0,1.78,2162.333333,3.666666667
mp-1018042,75,20,28.08788339,0.0,13.21346291,-7.467896385,0.131377888,2.9920067,223.504655,87.5,3018.5,10.5,1.7,974.85,7.5
mp-1502,129,39,17.54271242,0.0,7.858009346,-5.414176997,-0.896498577,7e-06,83.0156924,34.66666667,3227.333333,12.0,1.833333333,1302.78,4.0
mp-11718,24,14,23.62656946,5.5244,3.671083293,-4.08944799,-2.870906688,6e-07,52.2331016,23.0,523.015,9.0,2.4,182.995,3.5
mp-11514,244,108,16.2076588,0.0,16.49762986,-8.10352785,-0.694595527,8.87e-05,161.0247933,65.66666667,4404.333333,8.333333333,2.053333333,2277.6,5.666666667
mp-972810,278,97,14.32587372,0.0,11.8208535,-10.04288788,-0.267401292,0.0001516,101.981375,43.5,4519.25,8.5,2.015,2560.5,4.75
mp-5229,173,110,12.28044189,1.7673,4.962107072,-8.024971906,-3.568410678,0.0,36.69704,16.8,1097.12,10.8,2.562,631.08,3.0
mp-4692,121,74,14.9537224,0.0,7.463520879,-6.260229876,-0.85656488,0.0001427,67.21156,30.0,3111.6,12.0,1.768,1702.0,4.4
mp-7433,41,20,19.14525265,0.0512,4.78468807,-3.565160335,-0.598032596,2.95e-05,55.16525643,24.66666667,1771.333333,9.333333333,1.793333333,740.88,3.666666667
mp-6961,70,18,24.38083565,0.0,7.40991851,-4.816747716,-0.755402944,3e-06,108.796,46.4,2369.4,10.4,1.89,1302.732,5.0
mp-980749,214,101,13.58978517,0.0,9.436950389,-9.129153493,-0.104363083,4.2578048,77.231625,34.25,3915.0,7.25,1.965,2302.0,4.5
mp-1261,37,23,26.71163993,0.0,6.756536733,-6.039321755,-0.256592465,7.1065882,108.6865,46.5,1490.0,10.5,1.425,895.84,6.0
mp-1120,288,108,15.65109117,0.0,12.73266143,-10.44055579,-0.077841776,2.5e-05,120.00925,50.75,4859.25,6.75,2.17,2856.75,5.25
mp-7093,79,28,21.34343734,0.0,8.958478105,-4.425367629,-0.414519919,1.37e-06,115.1461733,48.66666667,2840.333333,12.66666667,1.723333333,1393.443333,5.666666667
mp-2647,105,33,18.57624543,0.0,7.476905121,-4.010752927,-0.42074598,0.0001595,83.6432154,35.0,2904.333333,12.33333333,1.92,1068.09,4.0
mp-1113,330,152,12.50019271,0.0,16.75971714,-11.12657467,-0.260648387,1.7e-05,126.1636667,51.0,5285.333333,8.333333333,2.253333333,3246.333333,4.666666667
mp-570689,72,27,22.97710228,0.0,8.430936243,-4.434410912,-0.830460705,1.03e-06,116.66,49.0,2733.333333,8.333333333,1.686666667,1195.383333,5.0
mp-980059,105,26,21.38657823,0.0,9.894489668,-6.78663921,-0.76409694,2e-05,127.4340875,54.0,3678.0,9.0,1.6975,1869.0,6.5
mp-865216,104,39,20.66980056,0.0,10.69459319,-6.567374395,-0.649909764,9.3e-06,133.1225,55.5,3334.75,10.5,1.71,1948.7625,6.5
